title,year,rating,actors,duration,url
Carrie,1976,7.4,"['Sissy Spacek', ' Piper Laurie', ' Amy Irving', ' John Travolta']",98,https://www.imdb.com/title/tt0074285/
Assault on Precinct 13,1976,7.4,"['Austin Stoker', ' Darwin Joston', ' Laurie Zimmer', ' Martin West']",91,https://www.imdb.com/title/tt0074156/
Le jouet,1976,7.5,"['Pierre Richard', ' Michel Bouquet', ' Fabrice Greco', ' Jacques François']",95,https://www.imdb.com/title/tt0074720/
The Omen,1976,7.5,"['Gregory Peck', ' Lee Remick', ' Harvey Stephens', ' David Warner']",111,https://www.imdb.com/title/tt0075005/
Network,1976,8.1,"['Faye Dunaway', ' William Holden', ' Peter Finch', ' Robert Duvall']",121,https://www.imdb.com/title/tt0074958/
Stroszek,1977,7.8,"['Bruno S', ' Eva Mattes', ' Clemens Scheitz', ' Wilhelm von Homburg']",115,https://www.imdb.com/title/tt0075276/
Sakar Sakir,1977,8.1,"['Kemal Sunal', ' Adile Nasit', ' Ali Sen', ' Ünal Gürel']",81,https://www.imdb.com/title/tt0253621/
Una giornata particolare,1977,8.1,"['Sophia Loren', ' Marcello Mastroianni', ' John Vernon', ' Françoise Berd']",106,https://www.imdb.com/title/tt0076085/
Gülen Gözler,1977,8.5,"['Münir Özkul', ' Adile Nasit', ' Halit Akçatepe', ' Müjde Ar']",97,https://www.imdb.com/title/tt0289967/
3 Women,1977,7.8,"['Shelley Duvall', ' Sissy Spacek', ' Janice Rule', ' Robert Fortier']",124,https://www.imdb.com/title/tt0075612/
Midnight Express,1978,7.6,"['Brad Davis', ' Irene Miracle', ' Bo Hopkins', ' Paolo Bonacelli']",121,https://www.imdb.com/title/tt0077928/
Halloween,1978,7.7,"['Donald Pleasence', ' Jamie Lee Curtis', ' Tony Moran', ' Nancy Kyes']",91,https://www.imdb.com/title/tt0077651/
Straight Time,1978,7.4,"['Dustin Hoffman', ' Theresa Russell', ' Gary Busey', ' Harry Dean Stanton']",114,https://www.imdb.com/title/tt0078326/
The Silent Partner,1978,7.4,"['Elliott Gould', ' Christopher Plummer', ' Susannah York', ' Céline Lomez']",106,https://www.imdb.com/title/tt0078269/
Neseli Günler,1978,8.7,"['Münir Özkul', ' Adile Nasit', ' Sener Sen', ' Aysen Gruda']",92,https://www.imdb.com/title/tt0765833/
The Wanderers,1979,7.4,"['Ken Wahl', ' Karen Allen', ' John Friedrich', ' Toni Kalem']",112,https://www.imdb.com/title/tt0080117/
Fukushû suru wa ware ni ari,1979,7.8,"['Ken Ogata', ' Rentarô Mikuni', ' Chôchô Miyako', ' Mitsuko Baishô']",140,https://www.imdb.com/title/tt0079182/
Die Blechtrommel,1979,7.5,"['David Bennent', ' Mario Adorf', ' Angela Winkler', ' Katharina Thalbach']",142,https://www.imdb.com/title/tt0078875/
A Little Romance,1979,7.5,"['Laurence Olivier', ' Diane Lane', ' Thelonious Bernard', ' Arthur Hill']",110,https://www.imdb.com/title/tt0079477/
Nosferatu: Phantom der Nacht,1979,7.5,"['Klaus Kinski', ' Isabelle Adjani', ' Bruno Ganz', ' Roland Topor']",107,https://www.imdb.com/title/tt0079641/
Raging Bull,1980,8.2,"['Robert De Niro', ' Cathy Moriarty', ' Joe Pesci', ' Frank Vincent']",129,https://www.imdb.com/title/tt0081398/
Ko to tamo peva,1980,8.8,"['Pavle Vuisic', ' Dragan Nikolic', ' Danilo Bata Stojkovic', ' Aleksandar Bercek']",86,https://www.imdb.com/title/tt0076276/
Kagemusha,1980,8.0,"['Tatsuya Nakadai', ' Tsutomu Yamazaki', ' Kenichi Hagiwara', ' Jinpachi Nezu']",180,https://www.imdb.com/title/tt0080979/
Pixote: A Lei do Mais Fraco,1980,8.0,"['Fernando Ramos da Silva', ' Jorge Julião', ' Gilberto Moura', ' Edilson Lino']",128,https://www.imdb.com/title/tt0082912/
